-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  50.8492   Longitude 4.3502 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 36.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT          CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_UVA     CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB     CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
T2M                MERRA-2 Temperature at 2 Meters (C) 
QV2M               MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS10M              MERRA-2 Wind Speed at 10 Meters (m/s) 
RH2M               MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,ALLSKY_KT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,QV2M,WS10M,RH2M
2021,3,18,0.34,5.5,0.07,4.32,4.58,3.27,90.5
2021,3,19,0.62,8.41,0.09,3.7,3.72,5.56,78.5
2021,3,20,0.69,9.45,0.11,3.95,3.85,3.16,80.31
2021,3,21,0.3,5.16,0.08,6.43,4.7,5.61,80.81
2021,3,22,0.3,5.04,0.08,5.8,4.33,3.0,78.69
2021,3,23,0.58,8.48,0.12,6.27,4.88,3.55,83.81
2021,3,24,0.7,9.9,0.14,7.76,5.07,3.96,80.0
2021,3,25,0.34,5.78,0.1,7.77,5.31,3.64,83.38
2021,3,26,0.48,7.81,0.12,8.62,5.43,6.98,80.25
2021,3,27,0.51,8.3,0.11,6.08,4.27,6.82,76.31
2021,3,28,0.62,9.79,0.15,8.37,5.07,6.59,76.5
2021,3,29,0.73,11.16,0.16,10.58,5.55,5.3,74.94
2021,3,30,0.73,11.18,0.16,12.88,5.86,3.1,68.19
2021,3,31,0.66,10.74,0.17,14.76,6.65,2.59,66.25
2021,4,1,0.58,9.24,0.14,11.91,5.98,4.29,70.19
2021,4,2,0.54,9.28,0.14,5.98,4.39,5.5,79.19
2021,4,3,0.48,8.62,0.12,6.7,4.33,5.01,74.5
2021,4,4,0.47,8.32,0.12,5.89,4.39,2.91,78.62
2021,4,5,0.35,6.8,0.11,3.67,3.72,7.98,75.44
2021,4,6,0.41,7.86,0.11,2.13,3.54,6.63,80.94
2021,4,7,0.33,6.36,0.09,2.34,3.36,6.69,77.62
2021,4,8,0.53,9.59,0.14,4.48,3.3,4.1,67.19
2021,4,9,0.55,10.1,0.16,7.78,4.82,3.95,75.25
2021,4,10,0.16,3.72,0.06,5.93,5.43,3.52,94.0
2021,4,11,0.26,5.7,0.09,3.95,4.03,5.65,81.56
2021,4,12,0.47,8.75,0.11,3.12,3.6,3.44,77.94
2021,4,13,0.55,10.01,0.12,4.14,3.36,2.61,69.31
2021,4,14,0.5,9.2,0.12,4.8,3.36,2.79,65.88
2021,4,15,0.47,8.84,0.11,4.71,3.72,3.31,74.81
2021,4,16,0.45,8.75,0.12,5.62,3.91,4.27,73.38
2021,4,17,0.65,12.2,0.17,6.67,4.09,4.87,72.31
2021,4,18,0.64,12.47,0.18,7.94,4.94,3.09,77.44
2021,4,19,0.49,9.92,0.15,9.33,5.68,2.49,79.75
2021,4,20,0.54,10.67,0.16,10.69,5.86,1.77,76.5
2021,4,21,0.49,9.62,0.16,9.4,5.25,4.49,74.06
2021,4,22,0.75,14.88,0.23,6.7,4.09,4.2,71.81
2021,4,23,0.76,15.07,0.25,7.56,4.33,3.94,71.5
2021,4,24,0.73,14.77,0.27,8.12,4.39,5.36,69.75
2021,4,25,0.73,15.16,0.29,6.98,4.21,5.35,71.81
2021,4,26,0.76,15.48,0.25,7.8,3.97,4.84,65.56
2021,4,27,0.73,15.09,0.24,9.09,4.33,2.95,65.06
2021,4,28,0.6,12.45,0.2,11.29,5.19,2.18,65.19
2021,4,29,0.21,5.27,0.09,6.87,4.94,5.34,81.75
2021,4,30,0.45,10.12,0.17,7.11,4.64,2.6,75.94
2021,5,1,0.51,10.9,0.17,6.98,4.64,3.13,76.0
2021,5,2,0.47,10.46,0.17,6.55,4.21,3.41,71.5
2021,5,3,0.5,11.41,0.18,8.83,4.58,5.88,66.31
2021,5,4,0.38,9.52,0.16,9.85,5.37,11.38,71.81
2021,5,5,0.49,11.59,0.19,6.84,4.64,5.68,76.88
2021,5,6,0.39,9.66,0.16,7.12,5.0,3.4,81.25
2021,5,7,0.56,13.11,0.2,7.99,4.52,3.53,71.19
2021,5,8,0.34,9.25,0.17,10.9,6.59,6.24,78.75
2021,5,9,0.48,12.26,0.27,17.05,10.38,6.11,85.06
2021,5,10,0.44,11.47,0.25,15.43,8.24,6.43,76.31
2021,5,11,0.3,7.95,0.16,13.08,7.63,2.3,82.12
2021,5,12,0.52,12.81,0.21,11.87,6.35,2.86,74.81
2021,5,13,0.41,10.53,0.2,11.55,6.59,2.38,78.38
2021,5,14,0.48,12.24,0.21,11.53,6.65,1.65,79.5
2021,5,15,0.31,8.69,0.16,10.73,6.77,4.33,84.69
2021,5,16,0.47,12.34,0.22,11.15,6.65,5.05,81.25
2021,5,17,0.32,9.02,0.16,11.51,7.2,5.81,85.31
2021,5,18,0.47,12.16,0.23,11.65,6.47,3.86,78.38
2021,5,19,0.39,10.7,0.2,10.05,6.59,3.88,86.69
2021,5,20,0.43,11.38,0.2,11.59,6.35,5.6,76.5
2021,5,21,0.52,13.51,0.27,12.99,6.04,10.08,65.88
2021,5,22,0.26,7.75,0.15,10.47,6.71,8.15,85.19
2021,5,23,0.51,13.3,0.24,11.4,6.04,6.34,74.44
2021,5,24,0.38,10.86,0.21,10.92,6.84,6.44,84.75
2021,5,25,0.33,9.3,0.16,10.37,6.41,6.8,83.25
2021,5,26,0.39,10.67,0.19,11.13,6.41,5.41,79.5
2021,5,27,0.34,9.56,0.16,11.8,6.59,5.38,79.06
2021,5,28,0.6,15.59,0.3,12.54,6.41,2.86,73.81
2021,5,29,0.67,16.84,0.31,14.44,6.96,3.71,71.62
2021,5,30,0.73,18.48,0.35,15.09,7.08,3.93,70.19
2021,5,31,0.72,18.33,0.36,16.96,8.06,3.22,70.19
2021,6,1,0.76,18.95,0.38,17.94,7.63,4.09,62.31
2021,6,2,0.67,17.39,0.35,20.15,9.34,3.21,65.44
2021,6,3,0.44,12.24,0.26,19.78,11.47,3.29,81.56
2021,6,4,0.43,11.52,0.24,18.39,10.44,2.39,80.75
2021,6,5,0.14,4.55,0.1,15.68,9.28,4.65,85.19
2021,6,6,0.48,13.0,0.27,16.22,8.54,3.2,76.69
2021,6,7,0.62,16.55,0.34,17.3,8.36,2.99,71.62
2021,6,8,0.61,16.12,0.33,18.63,8.79,2.28,69.88
2021,6,9,0.62,15.82,0.3,18.64,8.85,2.38,69.31
2021,6,10,0.68,18.14,0.35,19.51,9.52,2.62,69.69
2021,6,11,0.66,17.66,0.38,19.12,10.44,3.31,77.62
2021,6,12,0.41,11.8,0.25,16.76,8.85,4.53,76.81
2021,6,13,0.74,19.38,0.41,17.07,7.93,2.35,69.06
2021,6,14,0.74,19.41,0.42,19.9,8.85,3.12,64.06
2021,6,15,0.6,15.77,0.34,19.93,10.19,3.59,72.5
2021,6,16,0.66,17.06,0.38,22.91,11.66,2.48,68.25
2021,6,17,0.58,15.87,0.34,23.73,13.43,3.9,73.94
2021,6,18,0.56,15.32,0.34,23.34,13.79,4.99,78.94
2021,6,19,0.47,13.05,0.28,20.86,11.66,3.82,77.0
2021,6,20,0.55,14.91,0.31,20.08,11.29,4.11,78.25
2021,6,21,0.29,8.99,0.2,15.97,9.83,5.42,86.69
2021,6,22,0.16,5.2,0.11,13.59,7.93,5.98,82.75
2021,6,23,0.22,6.3,0.13,14.46,8.0,3.95,79.5
2021,6,24,0.27,7.39,0.14,15.68,8.12,3.26,74.75
2021,6,25,0.43,12.16,0.26,16.18,9.16,3.72,80.88
2021,6,26,0.41,11.12,0.24,18.45,10.07,2.13,78.31
2021,6,27,0.34,9.89,0.21,20.34,11.96,2.89,81.75
2021,6,28,0.33,9.76,0.21,19.05,12.21,2.11,89.56
2021,6,29,0.45,12.73,0.28,17.59,11.17,2.88,89.31
2021,6,30,0.16,5.17,0.11,14.47,9.03,4.78,88.69
2021,7,1,0.32,9.53,0.2,14.54,8.36,3.79,82.56
2021,7,2,0.57,15.32,0.3,18.15,9.03,2.42,71.69
2021,7,3,0.28,8.27,0.18,19.19,11.47,3.15,83.44
2021,7,4,0.33,9.47,0.19,17.25,10.62,2.15,87.12
2021,7,5,0.33,9.78,0.21,17.65,10.13,3.43,81.44
2021,7,6,0.44,12.58,0.27,17.65,9.58,7.41,76.75
2021,7,7,0.52,14.04,0.27,17.93,9.52,4.1,76.06
2021,7,8,0.44,12.33,0.25,18.55,9.34,1.84,72.5
2021,7,9,0.49,13.35,0.27,17.69,9.46,2.66,77.25
2021,7,10,0.34,9.52,0.2,17.01,10.31,1.27,86.44
2021,7,11,0.46,12.38,0.25,18.04,9.7,2.42,77.12
2021,7,12,0.3,8.9,0.18,18.92,10.31,2.2,76.5
2021,7,13,0.14,4.48,0.09,17.66,11.29,5.22,89.94
2021,7,14,0.1,3.41,0.07,16.94,11.11,7.14,92.62
2021,7,15,0.11,3.56,0.08,17.37,11.35,7.45,92.25
2021,7,16,0.26,7.63,0.16,17.25,9.52,4.6,79.94
2021,7,17,0.62,16.21,0.36,19.16,10.44,4.4,78.19
2021,7,18,0.72,18.34,0.41,20.05,11.17,3.59,78.38
2021,7,19,0.66,16.62,0.38,19.43,10.86,3.04,78.88
2021,7,20,0.67,16.13,0.35,18.74,9.58,2.6,74.12
2021,7,21,0.67,15.97,0.35,19.8,9.7,2.09,70.25
2021,7,22,0.64,15.42,0.32,19.59,9.77,2.81,71.12
2021,7,23,0.66,15.77,0.34,18.41,9.28,3.91,72.75
2021,7,24,0.22,6.21,0.14,19.78,11.84,2.1,83.0
2021,7,25,0.52,13.53,0.28,19.54,11.84,2.87,84.25
2021,7,26,0.43,11.4,0.23,18.37,11.41,3.86,87.69
2021,7,27,0.34,8.88,0.17,17.57,11.11,4.43,89.56
2021,7,28,0.51,12.87,0.26,17.93,9.83,6.73,78.38
2021,7,29,0.52,13.3,0.27,16.92,8.67,6.16,74.44
2021,7,30,0.48,12.46,0.26,17.11,9.16,6.68,75.94
2021,7,31,0.38,10.05,0.21,17.04,9.83,5.64,82.56
2021,8,1,0.34,9.27,0.19,15.85,9.58,3.98,86.56
2021,8,2,0.41,10.41,0.21,16.03,8.85,1.98,79.5
2021,8,3,0.45,11.33,0.23,15.36,9.09,2.91,84.62
2021,8,4,0.4,9.77,0.19,17.26,9.03,1.1,75.62
2021,8,5,0.5,12.02,0.22,18.7,10.07,2.41,75.81
2021,8,6,0.44,11.09,0.21,18.19,10.56,6.54,81.69
2021,8,7,0.46,11.41,0.23,16.83,9.95,5.59,83.75
2021,8,8,0.48,11.95,0.23,16.36,8.97,7.33,79.19
2021,8,9,0.41,10.21,0.2,16.33,9.58,5.34,84.62
2021,8,10,0.44,10.77,0.21,17.14,10.38,3.48,86.25
2021,8,11,0.56,12.53,0.26,17.94,9.28,2.52,74.56
2021,8,12,0.54,12.23,0.27,19.01,10.62,1.82,78.62
2021,8,13,0.6,13.31,0.27,18.3,9.89,3.76,78.31
2021,8,14,0.72,15.72,0.33,18.41,9.77,3.1,75.5
2021,8,15,0.59,13.29,0.3,19.53,10.56,4.45,77.12
2021,8,16,0.26,6.62,0.14,14.94,8.79,6.03,84.12
2021,8,17,0.25,6.12,0.12,14.28,9.09,4.98,90.38
2021,8,18,0.25,6.48,0.14,17.44,10.44,4.91,85.75
2021,8,19,0.28,7.05,0.15,17.23,9.77,5.01,81.19
2021,8,20,0.37,8.35,0.17,18.41,10.56,3.52,81.75
2021,8,21,0.53,10.62,0.22,19.81,11.35,2.6,80.94
2021,8,22,0.34,7.88,0.16,17.62,11.17,5.77,89.88
2021,8,23,0.29,6.64,0.13,18.37,10.38,5.27,81.12
2021,8,24,0.64,12.28,0.23,16.9,8.67,4.83,75.69
2021,8,25,0.67,12.88,0.24,16.49,8.48,3.38,76.19
2021,8,26,0.35,8.19,0.17,16.15,9.16,4.97,81.94
2021,8,27,0.44,9.04,0.17,15.72,8.61,4.76,79.94
2021,8,28,0.38,8.11,0.15,16.63,9.58,4.98,82.94
2021,8,29,0.23,5.44,0.1,16.3,9.64,5.42,84.94
2021,8,30,0.28,6.16,0.12,17.69,10.07,4.94,82.56
2021,8,31,0.47,9.13,0.16,17.13,9.34,4.15,80.06
2021,9,1,0.28,5.95,0.11,16.59,8.85,2.77,78.38
2021,9,2,0.7,12.24,0.21,17.03,8.85,3.36,76.25
2021,9,3,0.71,12.59,0.23,17.62,9.4,3.55,77.56
2021,9,4,0.59,10.79,0.2,17.44,9.7,3.83,80.75
2021,9,5,0.66,11.87,0.22,18.44,9.77,2.36,76.69
2021,9,6,0.62,11.06,0.21,19.5,9.4,1.82,70.38
2021,9,7,0.65,11.29,0.23,20.2,9.64,3.07,68.44
2021,9,8,0.7,11.64,0.22,20.21,9.52,3.9,66.75
2021,9,9,0.43,8.16,0.16,20.19,12.57,4.27,85.56
2021,9,10,0.34,6.62,0.12,19.05,12.08,4.01,88.88
2021,9,11,0.35,6.73,0.12,17.18,10.44,4.77,86.81
2021,9,12,0.51,8.59,0.16,16.09,9.28,3.23,83.31
2021,9,13,0.57,9.43,0.18,16.07,8.97,2.98,81.06
2021,9,14,0.33,5.88,0.11,17.5,10.74,3.22,86.12
2021,9,15,0.24,4.67,0.09,17.72,10.86,3.43,86.5
2021,9,16,0.48,7.87,0.14,16.62,9.03,2.89,78.94
2021,9,17,0.55,8.56,0.16,17.1,9.22,2.12,76.94
2021,9,18,0.62,9.38,0.17,17.93,9.22,2.78,73.94
2021,9,19,0.52,7.84,0.14,17.36,8.97,2.2,74.5
2021,9,20,0.52,7.54,0.13,14.73,7.57,3.09,74.38
2021,9,21,0.57,8.0,0.14,12.89,5.98,2.09,68.12
2021,9,22,0.62,8.62,0.16,13.76,6.65,2.44,70.62
2021,9,23,0.66,9.37,0.16,15.0,8.48,5.42,81.31
2021,9,24,0.38,5.89,0.11,16.58,9.95,4.77,86.19
2021,9,25,0.67,9.17,0.16,16.46,9.09,3.14,80.0
2021,9,26,0.32,4.74,0.08,17.67,10.62,3.92,85.94
2021,9,27,0.27,4.36,0.08,14.84,8.91,5.9,85.44
2021,9,28,0.55,7.81,0.13,13.61,7.45,4.9,79.12
2021,9,29,0.48,6.6,0.1,12.3,6.84,6.73,78.38
2021,9,30,0.41,5.9,0.09,11.4,6.04,5.82,75.38
2021,10,1,0.45,6.29,0.1,12.3,6.9,7.6,78.12
2021,10,2,0.34,5.05,0.08,13.43,8.79,7.58,91.25
2021,10,3,0.2,3.2,0.05,13.98,9.16,7.6,90.06
2021,10,4,0.62,7.64,0.11,12.87,7.08,6.59,78.5
2021,10,5,0.34,4.63,0.07,12.09,7.45,7.35,84.75
2021,10,6,0.22,3.23,0.05,11.58,7.75,7.24,91.75
2021,10,7,0.44,5.31,0.09,13.4,7.93,1.6,85.12
2021,10,8,0.7,7.48,0.12,11.45,6.9,2.69,84.81
2021,10,9,0.68,7.15,0.12,11.17,6.96,2.62,84.81
2021,10,10,0.62,6.4,0.11,11.37,7.08,2.23,86.25
2021,10,11,0.4,4.82,0.08,11.95,7.2,3.41,85.12
2021,10,12,0.24,3.09,0.05,10.53,7.02,4.16,89.31
2021,10,13,0.41,4.73,0.06,9.87,6.16,2.88,84.19
2021,10,14,0.46,4.87,0.06,11.39,6.84,5.34,82.75
2021,10,15,0.31,3.42,0.05,10.35,6.47,4.23,83.69
2021,10,16,0.51,5.04,0.07,8.52,5.07,1.78,76.75
2021,10,17,0.48,4.83,0.07,9.14,5.25,3.34,74.75
2021,10,18,0.45,4.55,0.06,10.48,6.53,4.95,82.44
2021,10,19,0.27,2.96,0.05,16.07,9.83,6.86,87.06
2021,10,20,0.2,2.36,0.04,15.37,9.34,8.71,85.44
2021,10,21,0.33,3.35,0.04,9.69,6.35,8.57,83.62
2021,10,22,0.52,4.66,0.05,8.43,5.74,5.95,84.44
2021,10,23,0.49,4.45,0.06,9.11,6.16,2.74,88.0
2021,10,24,0.67,5.27,0.07,7.12,5.07,4.62,83.44
2021,10,25,0.33,3.17,0.05,9.36,6.47,5.73,88.31
2021,10,26,0.41,3.73,0.05,11.14,7.45,5.95,91.69
2021,10,27,0.48,4.07,0.05,11.99,7.81,5.96,91.12
2021,10,28,0.69,5.08,0.07,10.43,6.71,6.08,87.06
2021,10,29,0.54,4.25,0.05,11.34,7.39,7.16,88.62
2021,10,30,0.23,2.23,0.02,11.74,8.12,6.48,94.0
2021,10,31,0.38,3.2,0.04,11.43,7.93,6.81,92.88
2021,11,1,0.55,4.12,0.04,8.87,6.47,7.09,90.5
2021,11,2,0.31,2.59,0.02,7.51,5.92,3.89,91.44
2021,11,3,0.3,2.38,0.02,6.44,5.55,1.84,91.56
2021,11,4,0.28,2.23,0.02,7.19,6.1,3.52,96.44
2021,11,5,0.41,2.96,0.02,7.85,5.98,3.61,92.12
2021,11,6,0.4,2.94,0.03,6.15,5.25,7.11,90.25
2021,11,7,0.38,2.78,0.03,9.89,6.29,6.31,83.94
2021,11,8,0.52,3.46,0.04,7.13,5.43,2.8,87.75
2021,11,9,0.66,3.8,0.04,6.15,5.25,3.8,89.94
2021,11,10,0.58,3.38,0.03,5.02,4.94,3.2,91.06
2021,11,11,0.5,2.9,0.02,6.65,5.8,2.75,96.25
2021,11,12,0.59,3.34,0.03,6.44,5.19,5.84,87.12
2021,11,13,0.25,1.8,0.02,10.32,7.45,4.34,95.38
2021,11,14,0.25,1.78,0.02,7.96,6.16,3.57,93.0
2021,11,15,0.15,0.95,0.01,5.82,5.25,2.58,93.19
2021,11,16,0.17,1.11,0.01,4.61,4.76,1.79,91.44
2021,11,17,0.24,1.45,0.02,6.68,5.8,3.97,94.94
2021,11,18,0.5,2.77,0.02,7.33,5.86,5.25,92.38
2021,11,19,0.3,1.67,0.02,10.24,7.2,3.77,94.69
2021,11,20,0.21,1.28,0.01,8.16,6.23,4.01,93.19
2021,11,21,0.22,1.39,0.02,6.94,5.68,4.1,92.19
2021,11,22,0.56,2.59,0.02,3.07,4.03,3.96,87.56
2021,11,23,0.43,2.21,0.02,3.72,4.7,1.08,94.88
2021,11,24,0.47,2.28,0.02,5.43,4.88,1.37,88.62
2021,11,25,0.3,1.54,0.01,4.45,5.07,2.48,95.88
2021,11,26,0.27,1.51,0.01,3.83,4.82,6.39,94.81
2021,11,27,0.4,1.88,0.02,2.39,4.33,3.62,94.12
2021,11,28,0.19,1.0,0.01,2.18,4.39,3.09,98.06
2021,11,29,0.43,1.85,0.01,3.03,4.21,5.11,89.44
2021,11,30,0.16,0.9,0.01,7.11,6.16,7.73,96.5
2021,12,1,0.26,1.34,0.01,7.37,6.04,8.35,93.38
2021,12,2,0.3,1.4,0.01,3.3,4.58,4.7,94.94
2021,12,3,0.28,1.47,0.01,2.17,4.15,7.28,93.12
2021,12,4,0.16,0.86,0.01,3.22,4.64,4.74,95.69
2021,12,5,0.29,1.32,0.01,3.04,4.52,3.59,94.69
2021,12,6,0.47,1.84,0.01,2.5,4.27,4.89,94.12
2021,12,7,0.45,1.79,0.01,3.38,4.52,7.45,92.62
2021,12,8,0.47,1.88,0.01,4.04,4.82,7.19,93.75
2021,12,9,0.27,1.23,0.01,3.45,4.7,5.71,95.69
2021,12,10,0.16,0.84,0.01,2.11,4.27,5.4,95.31
2021,12,11,0.43,1.66,0.01,4.44,4.88,4.87,93.94
2021,12,12,0.26,1.16,0.01,7.06,5.98,6.46,96.12
2021,12,13,0.23,1.06,0.01,6.77,5.8,4.91,96.06
2021,12,14,0.25,1.2,0.01,6.79,5.74,4.63,94.88
2021,12,15,0.23,1.12,0.01,7.16,5.86,4.84,94.94
2021,12,16,0.48,1.84,0.01,8.01,6.47,2.16,97.38
2021,12,17,0.31,1.32,0.01,6.02,5.55,2.48,98.0
2021,12,18,0.28,1.23,0.01,5.76,5.43,2.59,97.5
2021,12,19,0.27,1.16,0.01,5.62,5.43,2.12,97.44
2021,12,20,0.23,1.12,0.01,3.04,4.33,2.38,91.88
2021,12,21,0.64,2.05,0.01,-1.67,3.05,2.16,93.81
2021,12,22,0.52,1.92,0.01,-1.76,2.99,3.34,92.0
2021,12,23,0.26,1.19,0.01,1.47,4.03,6.27,95.19
2021,12,24,0.33,1.4,0.01,6.2,5.86,4.09,98.94
2021,12,25,0.23,0.98,0.01,1.48,4.03,4.7,94.0
2021,12,26,0.3,1.34,0.01,3.3,4.64,3.46,95.06
2021,12,27,0.25,1.23,0.01,7.15,6.23,5.0,97.12
2021,12,28,0.29,1.3,0.01,9.03,6.71,9.42,92.75
2021,12,29,0.16,0.87,0.01,9.23,7.08,6.3,96.31
2021,12,30,0.26,1.14,0.01,12.25,8.36,8.04,94.75
2021,12,31,0.46,1.87,0.02,10.3,7.32,6.95,94.69
