-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 12/31/2021 
Location: Latitude  40.5213   Longitude 21.2618 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 956.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,WS10M
2019,3,16,5.89,1.48,3.69,4.7,76.25,0.0,4.32
2019,3,17,9.58,3.01,6.3,5.31,66.75,0.0,2.98
2019,3,18,8.7,3.32,6.01,5.37,73.06,0.0,2.93
2019,3,19,9.73,3.59,6.66,5.43,68.12,0.19,1.51
2019,3,20,9.33,4.83,7.08,5.92,74.62,0.49,2.27
2019,3,21,7.8,4.44,6.12,5.74,81.06,0.16,3.28
2019,3,22,7.7,3.26,5.48,5.25,75.56,0.0,2.35
2019,3,23,8.75,2.03,5.39,4.82,65.44,0.0,2.53
2019,3,24,9.56,1.98,5.77,4.82,62.0,0.0,2.32
2019,3,25,10.24,1.79,6.01,4.82,58.38,0.0,2.56
2019,3,26,7.44,2.58,5.01,5.07,72.69,0.16,2.88
2019,3,27,5.94,1.54,3.73,4.7,75.19,0.17,2.62
2019,3,28,4.29,1.29,2.79,4.64,81.88,0.33,4.66
2019,3,29,4.52,-2.98,0.77,3.36,62.69,0.0,4.73
2019,3,30,5.82,-1.31,2.26,3.85,62.81,0.0,3.98
2019,3,31,8.71,-0.29,4.21,4.15,55.5,0.0,2.38
2019,4,1,10.33,0.23,5.28,4.27,51.75,0.0,2.16
2019,4,2,9.77,2.59,6.19,5.07,62.81,0.04,2.45
2019,4,3,7.59,4.19,5.89,5.68,79.88,0.09,1.93
2019,4,4,7.33,3.12,5.23,5.31,77.0,0.02,3.05
2019,4,5,7.6,4.97,6.28,6.04,84.62,0.66,3.96
2019,4,6,8.43,4.76,6.59,5.98,79.44,0.1,3.59
2019,4,7,10.08,5.58,7.83,6.35,76.19,0.97,1.02
2019,4,8,7.19,4.37,5.78,5.86,83.69,8.73,2.75
2019,4,9,7.31,4.7,6.01,5.98,84.38,2.2,4.61
2019,4,10,8.76,5.92,7.33,6.47,83.62,3.25,3.23
2019,4,11,8.04,3.42,5.73,5.43,75.38,1.89,3.5
2019,4,12,8.33,4.09,6.22,5.68,76.38,8.1,2.19
2019,4,13,7.65,3.74,5.7,5.55,78.0,1.74,1.12
2019,4,14,7.19,4.75,5.97,5.92,85.25,7.17,1.38
2019,4,15,6.08,3.91,4.99,5.55,86.88,3.24,2.81
2019,4,16,7.65,3.62,5.64,5.43,77.31,1.26,1.91
2019,4,17,8.32,2.08,5.2,4.88,67.12,0.87,2.52
2019,4,18,6.88,1.37,4.12,4.64,69.19,0.75,2.3
2019,4,19,8.33,2.33,5.33,4.94,68.81,0.17,3.19
2019,4,20,8.97,2.06,5.51,4.88,65.0,0.05,3.11
2019,4,21,9.05,3.62,6.33,5.43,71.81,0.01,1.54
2019,4,22,11.33,6.3,8.82,6.59,73.94,0.52,2.27
2019,4,23,10.56,4.98,7.76,5.98,72.06,2.53,5.77
2019,4,24,11.83,6.92,9.37,6.84,75.06,0.0,3.38
2019,4,25,13.79,8.27,11.03,7.51,71.44,0.15,1.48
2019,4,26,16.95,6.86,11.9,6.84,54.38,0.01,1.32
2019,4,27,15.24,8.46,11.85,7.63,66.88,0.82,3.19
2019,4,28,11.29,2.82,7.05,5.25,62.31,0.0,3.04
2019,4,29,11.12,3.43,7.28,5.43,62.69,0.0,3.52
2019,4,30,9.37,2.65,6.01,5.13,67.31,0.57,4.48
2019,5,1,8.23,3.08,5.66,5.25,73.12,0.03,3.71
2019,5,2,9.65,3.47,6.56,5.43,70.12,0.03,3.41
2019,5,3,11.26,4.0,7.62,5.62,66.06,0.0,2.95
2019,5,4,11.01,5.48,8.25,6.29,70.44,2.13,2.58
2019,5,5,11.82,8.3,10.06,7.63,81.19,5.39,3.93
2019,5,6,9.11,3.68,6.39,5.55,72.75,1.75,4.02
2019,5,7,7.77,2.49,5.13,5.07,72.44,1.16,3.65
2019,5,8,9.87,2.38,6.12,5.07,63.81,0.0,2.05
2019,5,9,10.73,4.51,7.62,5.86,68.62,0.04,2.84
2019,5,10,12.08,6.05,9.06,6.53,70.25,0.24,3.32
2019,5,11,14.36,5.94,10.15,6.47,61.56,0.07,1.7
2019,5,12,13.87,5.98,9.92,6.53,62.94,7.7,3.48
2019,5,13,10.74,7.8,9.27,7.32,83.38,18.49,4.72
2019,5,14,11.62,7.62,9.62,7.26,78.25,11.28,3.26
2019,5,15,11.5,6.51,9.0,6.71,73.62,3.88,1.64
2019,5,16,11.71,7.9,9.8,7.39,78.62,4.31,1.25
2019,5,17,12.83,8.14,10.48,7.51,74.69,1.9,1.36
2019,5,18,15.57,7.58,11.58,7.2,61.5,0.0,1.84
2019,5,19,15.63,7.45,11.54,7.26,61.88,0.03,4.41
2019,5,20,13.3,8.0,10.65,7.45,72.62,0.35,3.77
2019,5,21,12.41,6.72,9.56,6.77,71.62,0.22,3.5
2019,5,22,13.87,7.55,10.71,7.2,68.94,0.0,2.33
2019,5,23,14.8,7.34,11.08,7.14,65.31,6.3,1.71
2019,5,24,13.25,8.98,11.12,7.93,77.31,4.8,3.09
2019,5,25,14.37,8.33,11.34,7.57,70.25,0.0,3.16
2019,5,26,17.01,10.27,13.64,8.67,65.94,0.25,2.26
2019,5,27,14.94,10.67,12.8,8.85,76.44,6.17,2.75
2019,5,28,15.31,9.19,12.25,8.06,70.62,0.02,3.71
2019,5,29,14.98,9.57,12.27,8.24,73.12,0.03,3.49
2019,5,30,15.28,9.47,12.37,8.12,71.62,0.14,3.16
2019,5,31,14.37,8.8,11.58,7.81,72.44,9.21,2.06
2019,6,1,14.15,9.4,11.77,8.12,76.0,3.92,1.62
2019,6,2,13.64,10.12,11.87,8.54,80.44,5.63,1.79
2019,6,3,11.93,9.19,10.56,8.0,83.88,4.42,2.08
2019,6,4,14.28,9.94,12.11,8.48,77.38,2.44,1.9
2019,6,5,15.4,11.13,13.26,9.16,77.19,4.99,1.58
2019,6,6,17.3,11.73,14.51,9.52,72.88,0.06,2.94
2019,6,7,19.43,10.73,15.08,8.91,60.38,0.01,3.23
2019,6,8,22.11,11.25,16.68,9.28,53.19,0.0,3.12
2019,6,9,21.96,13.34,17.65,10.56,60.81,0.29,3.84
2019,6,10,20.76,12.77,16.76,10.19,63.12,2.02,2.8
2019,6,11,19.33,13.15,16.24,10.44,68.88,2.27,1.94
2019,6,12,21.89,13.51,17.69,10.68,61.44,0.11,2.52
2019,6,13,24.94,12.65,18.79,10.07,49.06,0.0,1.21
2019,6,14,25.3,13.76,19.53,10.86,51.25,0.01,2.12
2019,6,15,24.26,13.69,18.98,10.86,54.38,0.08,2.36
2019,6,16,22.94,13.91,18.42,11.05,59.12,2.98,1.78
2019,6,17,20.2,13.09,16.65,10.44,64.56,0.85,1.4
2019,6,18,20.76,12.48,16.62,10.01,61.25,3.47,0.98
2019,6,19,22.37,10.85,16.61,9.03,50.69,2.76,1.05
2019,6,20,21.7,12.44,17.08,10.01,57.31,1.61,1.48
2019,6,21,22.57,12.21,17.39,9.83,54.25,0.3,2.73
2019,6,22,23.69,12.78,18.23,10.19,52.56,0.0,2.22
2019,6,23,24.47,11.79,18.12,9.58,48.38,0.0,3.09
2019,6,24,20.41,12.9,16.65,10.25,64.5,3.5,2.44
2019,6,25,20.51,14.37,17.44,11.29,70.44,0.48,3.0
2019,6,26,21.84,14.54,18.19,11.41,66.0,1.84,3.2
2019,6,27,22.9,13.7,18.3,10.8,59.12,0.32,2.6
2019,6,28,23.26,13.04,18.15,10.38,54.94,0.06,3.36
2019,6,29,20.98,9.1,15.05,8.0,50.62,0.13,3.28
2019,6,30,20.84,9.5,15.17,8.18,51.5,0.04,3.12
2019,7,1,23.08,10.01,16.55,8.42,46.06,0.0,2.54
2019,7,2,25.51,9.67,17.58,8.3,39.75,0.0,2.47
2019,7,3,26.94,8.14,17.55,7.57,33.25,0.05,2.02
2019,7,4,26.75,9.56,18.15,8.54,38.31,1.62,1.2
2019,7,5,24.75,12.09,18.42,9.77,48.25,0.13,1.98
2019,7,6,24.69,10.25,17.47,8.73,44.12,0.0,2.55
2019,7,7,25.9,8.62,17.26,7.75,36.5,0.0,2.86
2019,7,8,25.44,10.41,17.93,8.73,41.81,0.0,3.41
2019,7,9,25.63,11.22,18.43,9.22,43.44,0.01,3.53
2019,7,10,22.9,12.19,17.55,9.89,53.69,8.76,4.26
2019,7,11,17.58,7.42,12.51,7.2,56.25,8.06,3.68
2019,7,12,19.42,8.94,14.18,8.0,54.25,1.27,1.64
2019,7,13,20.24,10.47,15.35,8.91,58.88,1.35,2.08
2019,7,14,18.49,11.42,14.95,9.46,66.44,4.82,2.8
2019,7,15,18.24,10.74,14.49,8.97,64.06,1.21,1.73
2019,7,16,15.19,12.98,14.08,10.38,87.0,15.46,3.1
2019,7,17,18.35,10.25,14.3,8.67,63.0,0.29,2.95
2019,7,18,21.03,8.32,14.67,7.69,47.56,0.02,1.17
2019,7,19,21.55,10.31,15.93,8.67,51.0,0.25,1.28
2019,7,20,22.82,10.0,16.4,8.48,46.19,0.0,1.25
2019,7,21,24.47,10.18,17.32,8.61,42.81,0.0,1.51
2019,7,22,24.64,11.08,17.86,9.16,45.31,0.0,2.66
2019,7,23,22.56,12.76,17.65,10.19,56.88,0.29,2.92
2019,7,24,22.4,11.46,16.93,9.34,52.81,0.0,3.21
2019,7,25,23.28,12.03,17.65,9.7,52.19,0.0,1.91
2019,7,26,24.78,11.64,18.21,9.52,46.88,0.0,1.21
2019,7,27,25.79,11.75,18.76,9.64,45.44,0.02,0.98
2019,7,28,25.34,10.42,17.88,8.85,43.5,0.01,3.57
2019,7,29,22.05,12.87,17.46,10.38,59.38,0.12,3.76
2019,7,30,22.33,13.2,17.76,10.56,59.38,0.16,2.51
2019,7,31,24.58,12.47,18.52,10.01,49.88,0.0,2.34
2019,8,1,25.88,13.22,19.55,10.5,48.44,0.0,2.55
2019,8,2,26.93,10.92,18.93,9.16,41.12,0.0,2.22
2019,8,3,25.55,10.79,18.17,9.03,42.5,0.0,4.2
2019,8,4,22.44,9.75,16.09,8.42,48.0,0.0,3.1
2019,8,5,21.83,8.2,15.01,7.51,43.88,0.0,1.94
2019,8,6,23.3,5.93,14.62,6.41,35.12,0.0,1.71
2019,8,7,25.43,7.26,16.34,7.08,34.19,0.0,1.28
2019,8,8,26.91,9.14,18.03,8.0,35.62,0.0,0.8
2019,8,9,27.78,9.99,18.89,8.48,33.56,0.01,0.95
2019,8,10,27.85,9.76,18.8,8.36,35.0,0.0,2.08
2019,8,11,27.93,10.76,19.34,8.91,36.0,0.0,2.33
2019,8,12,26.8,7.88,17.34,7.57,33.06,0.0,2.8
2019,8,13,27.12,6.13,16.62,6.53,28.06,0.0,2.41
2019,8,14,27.7,8.98,18.33,8.0,32.69,0.1,2.73
2019,8,15,22.73,11.89,17.31,9.7,53.12,1.98,2.28
2019,8,16,22.12,8.36,15.24,7.63,45.38,0.61,1.77
2019,8,17,20.43,5.65,13.04,6.29,40.31,0.02,2.77
2019,8,18,22.43,4.97,13.69,5.98,34.88,0.0,1.87
2019,8,19,24.01,5.64,14.83,6.35,33.44,0.0,1.93
2019,8,20,24.47,10.35,17.41,8.61,44.19,0.0,2.23
2019,8,21,24.44,8.95,16.69,7.87,40.81,0.0,2.21
2019,8,22,25.48,8.77,17.12,7.75,36.38,0.0,1.84
2019,8,23,25.76,10.77,18.27,8.85,40.31,0.02,2.09
2019,8,24,24.93,10.63,17.78,8.79,41.75,0.1,2.58
2019,8,25,24.83,9.48,17.15,8.18,39.81,0.06,2.34
2019,8,26,25.07,7.54,16.3,7.14,34.69,0.01,3.07
2019,8,27,24.27,9.05,16.66,7.87,39.62,1.48,2.19
2019,8,28,23.9,9.29,16.59,8.06,41.0,1.51,2.08
2019,8,29,23.96,6.73,15.34,6.77,35.25,0.0,1.91
2019,8,30,23.8,6.19,15.0,6.53,34.38,0.0,1.91
2019,8,31,23.37,7.18,15.28,6.96,36.44,0.0,2.01
2019,9,1,22.62,6.87,14.75,6.9,39.0,0.0,1.68
2019,9,2,21.96,9.62,15.79,8.36,47.81,1.03,1.91
2019,9,3,22.37,11.01,16.69,9.09,50.81,0.47,1.09
2019,9,4,21.57,7.9,14.73,7.39,44.44,0.0,2.38
2019,9,5,21.38,8.16,14.77,7.51,44.44,0.0,2.19
2019,9,6,21.81,9.51,15.66,8.18,48.0,0.57,1.41
2019,9,7,20.58,11.62,16.1,9.46,58.81,3.61,1.52
2019,9,8,21.09,11.58,16.33,9.4,57.12,1.58,1.6
2019,9,9,20.62,10.68,15.65,8.85,55.75,0.01,1.91
2019,9,10,21.09,11.12,16.11,9.16,55.19,0.56,1.96
2019,9,11,19.76,12.09,15.93,9.7,62.56,1.62,1.35
2019,9,12,19.95,7.65,13.8,7.26,47.81,0.36,2.95
2019,9,13,18.12,5.05,11.58,6.04,45.5,0.0,4.59
2019,9,14,18.15,2.74,10.44,5.13,39.06,0.0,3.38
2019,9,15,19.22,5.08,12.15,5.98,42.94,0.0,2.39
2019,9,16,21.2,4.72,12.96,5.92,37.12,0.0,1.5
2019,9,17,21.8,4.66,13.23,5.92,35.75,0.0,1.57
2019,9,18,20.9,7.58,14.25,7.2,46.38,0.02,2.97
2019,9,19,17.85,9.73,13.79,8.42,61.0,11.71,1.75
2019,9,20,13.05,5.3,9.17,6.23,62.12,2.34,3.59
2019,9,21,13.35,3.31,8.33,5.37,53.56,0.01,2.05
2019,9,22,15.91,6.87,11.4,6.84,59.88,0.0,1.56
2019,9,23,17.8,11.62,14.71,9.52,70.31,2.43,2.98
2019,9,24,16.78,12.12,14.44,9.89,77.12,10.61,2.95
2019,9,25,16.8,9.65,13.23,8.3,67.94,0.0,1.68
2019,9,26,16.73,11.48,14.11,9.34,74.38,0.9,3.27
2019,9,27,16.54,8.66,12.6,7.81,64.19,0.0,2.05
2019,9,28,18.94,7.86,13.4,7.32,50.31,0.0,1.15
2019,9,29,19.67,8.4,14.03,7.63,51.62,0.0,1.57
2019,9,30,18.07,10.11,14.09,8.61,63.88,0.0,3.0
2019,10,1,18.3,9.84,14.07,8.48,63.44,0.0,2.23
2019,10,2,18.32,8.38,13.35,7.75,57.81,0.1,2.23
2019,10,3,14.73,11.54,13.13,9.46,83.19,6.53,2.56
2019,10,4,12.2,9.86,11.03,8.48,86.12,18.93,2.05
2019,10,5,11.88,6.84,9.36,6.9,74.62,0.61,3.25
2019,10,6,13.42,6.33,9.87,6.65,67.12,0.14,2.11
2019,10,7,9.61,6.61,8.11,6.77,81.94,4.74,2.99
2019,10,8,10.65,7.87,9.26,7.32,83.94,1.56,2.57
2019,10,9,14.13,9.37,11.76,8.06,75.88,0.0,2.06
2019,10,10,15.98,9.69,12.84,8.3,70.25,0.29,2.84
2019,10,11,15.56,11.44,13.5,9.28,78.75,0.15,2.29
2019,10,12,16.18,11.38,13.78,9.22,75.56,0.0,1.65
2019,10,13,17.01,10.58,13.8,8.73,69.12,0.0,1.11
2019,10,14,17.69,10.23,13.96,8.61,66.19,0.0,1.05
2019,10,15,17.63,8.69,13.16,7.75,59.19,0.0,1.28
2019,10,16,17.19,6.77,11.98,6.84,53.81,0.0,1.07
2019,10,17,16.34,7.44,11.9,7.14,57.75,0.0,1.39
2019,10,18,15.9,8.84,12.37,7.81,64.75,0.0,1.21
2019,10,19,16.14,8.87,12.51,7.81,65.5,0.0,0.76
2019,10,20,16.59,8.68,12.63,7.69,63.12,0.0,0.86
2019,10,21,16.77,7.15,11.96,6.96,55.5,0.0,1.32
2019,10,22,16.47,5.73,11.1,6.29,51.5,0.0,1.8
2019,10,23,15.42,5.18,10.3,6.04,53.06,0.0,1.51
2019,10,24,15.29,2.59,8.94,5.07,45.31,0.0,1.45
2019,10,25,15.58,1.98,8.78,4.88,41.69,0.0,1.06
2019,10,26,15.59,2.26,8.92,4.94,42.38,0.0,1.29
2019,10,27,15.8,-0.28,7.76,4.15,35.88,0.0,1.52
2019,10,28,14.76,-1.6,6.58,3.78,34.94,0.0,1.78
2019,10,29,13.84,-0.7,6.57,4.09,39.88,0.0,1.95
2019,10,30,13.26,6.54,9.9,6.77,66.06,0.61,1.53
2019,10,31,10.09,8.26,9.18,7.57,88.56,3.35,1.7
2019,11,1,8.96,7.16,8.06,6.96,88.88,0.88,2.88
2019,11,2,9.21,7.51,8.36,7.14,89.19,0.23,3.05
2019,11,3,10.62,8.99,9.8,7.93,89.81,2.05,3.57
2019,11,4,11.25,10.12,10.69,8.61,92.5,10.86,4.0
2019,11,5,10.96,8.0,9.48,7.39,83.62,0.08,3.2
2019,11,6,12.12,9.7,10.91,8.36,85.44,3.8,3.14
2019,11,7,11.07,10.22,10.64,8.67,94.12,18.65,2.66
2019,11,8,10.32,8.22,9.27,7.57,88.0,16.5,2.58
2019,11,9,9.69,7.37,8.53,7.08,86.56,2.03,2.45
2019,11,10,9.1,5.82,7.46,6.41,82.31,16.89,3.04
2019,11,11,7.44,4.55,6.0,5.8,83.31,0.0,2.37
2019,11,12,10.73,9.81,10.27,8.42,92.81,19.29,7.05
2019,11,13,10.29,7.95,9.12,7.45,86.5,3.29,3.98
2019,11,14,9.4,6.93,8.16,6.9,85.75,0.93,1.79
2019,11,15,8.8,6.86,7.83,6.84,88.12,0.06,2.24
2019,11,16,8.96,7.05,8.01,6.9,88.25,0.0,2.15
2019,11,17,9.38,8.16,8.77,7.45,91.62,0.54,2.73
2019,11,18,9.82,6.83,8.33,6.84,82.75,3.31,2.13
2019,11,19,8.84,7.78,8.31,7.26,92.44,4.25,2.93
2019,11,20,9.75,6.78,8.26,6.96,83.0,19.66,3.93
2019,11,21,7.86,3.91,5.88,5.62,77.06,0.27,1.32
2019,11,22,7.77,3.27,5.52,5.31,74.31,1.22,1.55
2019,11,23,6.45,4.23,5.33,5.68,86.44,0.0,1.65
2019,11,24,7.13,6.59,6.87,6.71,95.5,1.98,4.05
2019,11,25,5.62,4.94,5.28,6.1,95.5,20.95,3.91
2019,11,26,6.18,4.46,5.32,5.86,89.25,0.17,1.59
2019,11,27,6.43,4.86,5.64,5.98,89.94,0.04,2.26
2019,11,28,8.57,7.45,8.01,7.14,92.31,5.01,3.27
2019,11,29,7.48,5.24,6.36,6.16,86.5,3.92,4.9
2019,11,30,5.81,4.19,5.0,5.74,89.19,3.32,3.87
2019,12,1,0.67,-4.5,-1.92,2.99,70.12,0.01,2.38
2019,12,2,2.72,-1.47,0.62,3.78,75.12,0.01,2.23
2019,12,3,5.05,4.43,4.74,5.86,94.88,5.78,2.21
2019,12,4,-0.61,-1.82,-1.22,3.66,92.06,5.8,3.54
2019,12,5,0.45,-0.42,0.01,4.09,94.25,0.03,2.12
2019,12,6,5.23,4.4,4.82,5.8,94.06,4.52,1.56
2019,12,7,5.7,4.98,5.34,5.98,94.44,7.96,2.79
2019,12,8,5.25,3.8,4.52,5.49,89.25,0.01,2.09
2019,12,9,4.44,2.55,3.49,5.07,87.38,0.08,1.55
2019,12,10,2.76,2.4,2.58,5.07,97.44,7.92,2.38
2019,12,11,1.2,0.56,0.88,4.39,95.44,7.68,3.91
2019,12,12,2.79,1.69,2.24,4.82,92.94,0.65,1.49
2019,12,13,3.17,2.26,2.72,5.0,94.06,1.33,2.78
2019,12,14,2.6,2.13,2.37,5.0,96.38,12.76,3.55
2019,12,15,4.75,2.33,3.54,4.94,84.44,0.0,1.84
2019,12,16,4.96,4.22,4.58,5.68,92.0,0.0,2.2
2019,12,17,5.62,4.29,4.96,5.68,90.31,0.0,2.21
2019,12,18,5.65,4.08,4.87,5.68,90.0,0.0,1.78
2019,12,19,5.5,3.87,4.68,5.55,89.06,0.14,1.6
2019,12,20,6.36,6.09,6.23,6.47,96.62,2.88,2.85
2019,12,21,7.4,6.37,6.88,6.65,92.31,1.32,5.44
2019,12,22,8.55,7.38,7.96,7.2,92.5,18.46,5.39
2019,12,23,5.08,3.42,4.25,5.49,89.31,2.58,4.89
2019,12,24,2.02,-0.61,0.71,4.09,83.5,0.02,5.14
2019,12,25,0.57,-1.4,-0.42,3.85,87.88,0.0,3.87
2019,12,26,0.48,-1.43,-0.48,3.78,87.94,0.06,3.27
2019,12,27,-1.29,-3.32,-2.31,3.3,87.88,0.0,2.23
2019,12,28,-2.52,-4.89,-3.71,2.87,85.56,0.07,4.73
2019,12,29,-3.95,-6.48,-5.21,2.5,84.81,0.01,5.34
2019,12,30,-3.82,-6.18,-5.0,2.56,86.06,0.04,5.52
2019,12,31,-3.3,-7.78,-5.54,2.26,73.44,0.0,2.53
2020,1,1,-2.28,-5.68,-3.99,2.69,79.19,0.0,4.01
2020,1,2,-4.28,-6.73,-5.5,2.44,83.69,0.0,3.14
2020,1,3,-1.44,-6.24,-3.84,2.62,71.12,0.0,2.7
